title,category,source_page,original_url,canonical_url,filename,declared_type,mime,bytes,sha256,http,is_real_file,host,in_repository,on_new_site,wix_dependency,status
Code of Conduct — Captains 2025/26,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/23872a_dd49cc301761453e9b8f9568a2f94e01.pdf,https://www.rdca.com/_files/ugd/23872a_dd49cc301761453e9b8f9568a2f94e01.pdf,23872a_dd49cc301761453e9b8f9568a2f94e01.pdf,pdf,application/pdf,224498,0e78a93404100862447af025002ac2e3d69539f926e6a265390674ef4e81062c,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Code of Conduct — Players 2025/26,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/23872a_b2a5fd52c19d4d6b914086e876204765.pdf,https://www.rdca.com/_files/ugd/23872a_b2a5fd52c19d4d6b914086e876204765.pdf,23872a_b2a5fd52c19d4d6b914086e876204765.pdf,pdf,application/pdf,196927,4a7b83bc51304d048d4c205fa92ec3e3841a44e5ee4bd1b0a166553978e90cc5,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Member Protection By Law,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_4916c09b103f4a52b94ca2f554d2b540.pdf,https://www.rdca.com/_files/ugd/c846e3_4916c09b103f4a52b94ca2f554d2b540.pdf,c846e3_4916c09b103f4a52b94ca2f554d2b540.pdf,pdf,application/pdf,71437,c019c426c773593fbd0848f26c30025da2716af924b9337dc1587fcdd61d999b,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Member Protection Policy,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_a8fd9209cf6541a5968832c02220cf6a.pdf,https://www.rdca.com/_files/ugd/c846e3_a8fd9209cf6541a5968832c02220cf6a.pdf,c846e3_a8fd9209cf6541a5968832c02220cf6a.pdf,pdf,application/pdf,1742688,a4eaecb0c0028dae3f29b1932724a0879eec7a3bfe144e02d460f3df35b5ebc2,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Registration Form,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_7ca10e17623b49e8ad0a6e9e4b08f6c3.pdf,https://www.rdca.com/_files/ugd/c846e3_7ca10e17623b49e8ad0a6e9e4b08f6c3.pdf,c846e3_7ca10e17623b49e8ad0a6e9e4b08f6c3.pdf,pdf,application/pdf,77049,4cc807fee52870f0d70e0e143bace5b19fec78c965b742c5559d8e3be2588e06,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Clearances & Transfers Guide,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_2337caa1f5584ee99832599a9812cdf3.pdf,https://www.rdca.com/_files/ugd/c846e3_2337caa1f5584ee99832599a9812cdf3.pdf,c846e3_2337caa1f5584ee99832599a9812cdf3.pdf,pdf,application/pdf,461315,19efa6ca6d8508921ee4a4ee4ecdb97d52491290b41fa93f687cf843cea32a32,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
MyCricket Results Entry Guide,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/c846e3_7a6d5730dbc94944bdd8256f31bc8ba2.pdf,https://www.rdca.com/_files/ugd/c846e3_7a6d5730dbc94944bdd8256f31bc8ba2.pdf,c846e3_7a6d5730dbc94944bdd8256f31bc8ba2.pdf,pdf,application/pdf,589617,9c7d7b5c2e5170b051e726d703ffff29b18c52eced98624a3b4744495160c865,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Cricket Ball Order Form 2025/26,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/5d13eb_56cb020fd62c47f8aa1595960fbedea7.docx?dn=CRICKET%20BALL%20ORDER%20FORM%202025-26%20.docx,https://www.rdca.com/_files/ugd/5d13eb_56cb020fd62c47f8aa1595960fbedea7.docx,CRICKET BALL ORDER FORM 2025-26 .docx,doc,application/vnd.openxmlformats-officedocument.wordprocessingml.document,121265,9ba6ed34ceac6e55c4cb1065056d5b754fbc4cedcb6df17e9591b14e4f1f1dc5,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Children & Young People Policy,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/5d13eb_50ec172962db450a85ac926f9f1ce71e.pdf,https://www.rdca.com/_files/ugd/5d13eb_50ec172962db450a85ac926f9f1ce71e.pdf,5d13eb_50ec172962db450a85ac926f9f1ce71e.pdf,pdf,application/pdf,8042179,0c53d1f22b291fc82cc0866aead19a80fa40551b135bd66319854e8010a3a539,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
Looking After Our Kids,Women's,new site /documents.html (site-data.js),https://www.rdca.com/_files/ugd/5d13eb_8fc85fe2be194b16aeae2526d5955372.pdf,https://www.rdca.com/_files/ugd/5d13eb_8fc85fe2be194b16aeae2526d5955372.pdf,5d13eb_8fc85fe2be194b16aeae2526d5955372.pdf,pdf,application/pdf,12566694,dfc00f22a9622b7d9bb09737efcc5eefceecbbeabec364c51659d5781457770c,200,YES,www.rdca.com,NO,LINKED ONLY (hot-linked to old host),YES,EXTERNAL-DEPENDENCY
